WN_30_id	UKC_local_concept_id
00208447-a	75063
00208613-a	75064
00208749-a	75065
00208872-a	75066
00208946-a	75067
00209079-a	75068
00209253-a	75069
00209390-a	75070
00209550-a	75071
00209620-a	75072
00209781-a	75073
00209916-a	75074
00209988-a	75075
00210079-a	75076
00210212-a	75077
00210281-a	75078
00210371-a	75079
00210446-a	75080
00210848-a	75081
00211026-a	75082
00211092-a	75083
00211221-a	75084
00211370-a	75085
00211444-a	75086
00211564-a	75087
00211735-a	75088
00211827-a	75089
00211916-a	75090
00212057-a	75091
00212173-a	75092
00212949-a	75093
00213071-a	75094
00213172-a	75095
00213387-a	75096
00213516-a	75097
00213610-a	75098
00213814-a	75099
00213933-a	75100
00214001-a	75101
00214165-a	75102
00214323-a	75103
00214461-a	75104
00214640-a	75105
00214812-a	75106
00214907-a	75107
00215087-a	75108
00215257-a	75109
00215344-a	75110
00215468-a	75111
00215564-a	75112
00215654-a	75113
00215745-a	75114
00215834-a	75115
00215929-a	75116
00216003-a	75117
00216079-a	75118
00216155-a	75119
00216308-a	75120
00216420-a	75121
00216560-a	75122
00216668-a	75123
00216858-a	75124
00217075-a	75125
00217183-a	75126
00217297-a	75127
00217428-a	75128
00217563-a	75129
00217728-a	75131
00218305-a	75132
00218440-a	75133
00218673-a	75134
00218837-a	75135
00218950-a	75136
00219389-a	75137
00219705-a	75138
00219809-a	75139
00219924-a	75140
00220082-a	75141
00220241-a	75142
00220341-a	75143
00220502-a	75144
00220600-a	75145
00220739-a	75146
00220956-a	75147
00221318-a	75148
00221469-a	75149
00221553-a	75150
00221627-a	75151
00221934-a	75152
00222147-a	75153
00222272-a	75154
00222449-a	75155
00222543-a	75156
00222662-a	75157
00222775-a	75158
00222873-a	75159
00222969-a	75160
00223119-a	75161
00223220-a	75162
00223375-a	75163
00223504-a	75164
00223582-a	75165
00223683-a	75166
00223802-a	75167
00224031-a	75168
00224166-a	75169
00224366-a	75170
00224515-a	75171
00224731-a	75172
00225099-a	75173
00225408-a	75174
00225564-a	75175
00225821-a	75176
00225912-a	75177
00226105-a	75178
00226339-a	75179
00226434-a	107969
00226535-a	75181
00226618-a	75182
00226891-a	75184
00227003-a	75185
00227301-a	75186
00227507-a	75188
00228025-a	75189
00228173-a	75190
00228294-a	75191
00228485-a	75192
00228645-a	75193
00228876-a	75194
00228967-a	75195
00229130-a	75196
00229227-a	75197
00229371-a	75198
00229487-a	75199
00229630-a	75200
00229978-a	75201
00230076-a	75202
00230208-a	75203
00230335-a	75204
00230843-a	75205
00230940-a	75206
00231103-a	75207
00231252-a	75208
00231591-a	75209
00231761-a	75210
00231963-a	75211
00232068-a	75212
00232234-a	75213
00232385-a	75214
00232620-a	75215
00232754-a	75216
00232986-a	75217
00233151-a	75218
00233263-a	75219
00233353-a	75220
00233442-a	75221
00233635-a	75222
00233756-a	75223
00233925-a	75224
00234106-a	75225
00234378-a	75226
00234522-a	75227
00234733-a	75228
00234872-a	75229
00235239-a	93857
00235326-a	75231
00235429-a	75232
00235571-a	75233
00235731-a	75234
00235823-a	75235
00235913-a	75236
00235988-a	75237
00236086-a	75238
00236200-a	75239
00236338-a	75240
00236483-a	75241
00236652-a	75242
00236839-a	75243
00236922-a	75244
00236989-a	75245
00237156-a	75246
00237240-a	75247
00237788-a	75248
00237881-a	75249
00237965-a	75250
00238037-a	75251
00238189-a	75252
00238310-a	75253
00238400-a	75254
00238490-a	75255
00238564-a	75256
00238636-a	75257
00238712-a	75258
00238788-a	75259
00238862-a	75260
00238934-a	75261
00239012-a	75262
00239090-a	75263
00239185-a	75264
00239325-a	75265
00239444-a	75266
00239520-a	75267
00239594-a	75268
00239668-a	75269
00239742-a	75270
00239847-a	75271
00240008-a	75272
00240197-a	75273
00240323-a	93884
00240417-a	75275
00240584-a	75276
00240655-a	75277
00240842-a	75278
00241004-a	93887
00241079-a	75280
00241260-a	75281
00241397-a	75282
00241530-a	75283
00241672-a	75284
00241816-a	75285
00241952-a	75286
00242293-a	75287
00242575-a	75288
00242832-a	75289
00243039-a	75290
00243180-a	75291
00243395-a	75292
00243515-a	75293
00243606-a	75294
00243945-a	75295
00244054-a	75296
00244199-a	75297
00244324-a	75298
00244410-a	75299
00244503-a	75300
00244820-a	75301
00244958-a	75302
00245112-a	75303
00245200-a	75304
00245319-a	75305
00245458-a	75306
00245763-a	75307
00245860-a	75308
00245952-a	75309
00246175-a	75310
00246348-a	75311
00246497-a	75312
00246623-a	75313
00246727-a	75314
00246878-a	75315
00247013-a	75316
00247247-a	75319
00247439-a	75320
00247868-a	75321
00247993-a	75323
00248118-a	75324
00248251-a	75325
00248560-a	75326
00248837-a	75327
00249104-a	75328
00249303-a	75329
00249433-a	75331
00249576-a	75332
00249721-a	75334
00250119-a	75335
00250483-a	75336
00250659-a	75337
00250739-a	75338
00251134-a	75339
00251373-a	75340
00251529-a	75341
00251681-a	75342
00251809-a	75343
00252130-a	75344
00252310-a	75345
00252498-a	75346
00252733-a	75347
00252826-a	75348
00252954-a	75350
00253196-a	75351
00253361-a	75352
00253469-a	75353
00253654-a	75354
00253757-a	75355
00253869-a	75356
00254046-a	75357
00254152-a	75358
00254296-a	75359
00254419-a	75360
00254516-a	75361
00254615-a	75362
00254746-a	75363
00254880-a	75364
00254983-a	75365
00255057-a	75366
00255308-a	75367
00255453-a	75368
00255582-a	75369
00255720-a	75371
00255918-a	75372
00256042-a	75373
00256237-a	75374
00256453-a	75375
00256538-a	75376
00256636-a	75377
00256883-a	75378
00257032-a	75379
00257102-a	75380
00257232-a	75381
00257356-a	75382
00257462-a	75383
00257579-a	75385
00257742-a	75386
00258090-a	75387
00258255-a	75388
00258411-a	75389
00258587-a	75390
00258797-a	75391
00258899-a	75392
00259011-a	75393
00259098-a	75394
00259177-a	75395
00259256-a	75396
00259329-a	75397
00259433-a	75398
00259568-a	75399
00259820-a	75400
00259957-a	75401
00260100-a	75402
00260323-a	75403
00260430-a	75404
00260695-a	75405
00260780-a	75406
00260973-a	75407
00261109-a	75408
00261245-a	75409
00261486-a	75410
00261602-a	75411
00261735-a	75412
00261885-a	75413
00262008-a	75414
00262124-a	75415
00262328-a	75416
00262444-a	75417
00262529-a	75418
00262705-a	75419
00262792-a	75420
00263463-a	75421
00263840-a	75422
00263994-a	75423
00264178-a	75424
00264262-a	75425
00264459-a	75426
00264570-a	75427
00264776-a	75428
00265214-a	75429
00265314-a	75430
00265496-a	75431
00265765-a	75432
00265989-a	75433
00266228-a	75434
00266309-a	75435
00266420-a	75436
00266634-a	75437
00266985-a	75438
00267145-a	75439
00267268-a	75440
00267356-a	75441
00267452-a	75442
00267774-a	75443
00267871-a	75446
00268273-a	75447
00268383-a	75448
00268748-a	75449
00268869-a	75450
00269063-a	75451
00269241-a	75452
00269364-a	75453
