concept_id,wn30_id,domain
100554,01602907-v,verb.contact
100555,01603032-v,verb.contact
100556,01603175-v,verb.contact
100557,01603303-v,verb.contact
100558,01603418-v,verb.contact
100559,01603620-v,verb.contact
10056,01998019-n,noun.animal
100560,01603732-v,verb.contact
100561,01603885-v,verb.contact
100562,01604012-v,verb.contact
100563,01604119-v,verb.contact
100564,01604251-v,verb.contact
100565,01604442-v,verb.contact
100566,01604586-v,verb.contact
100567,01604696-v,verb.contact
100568,01604814-v,verb.contact
100569,01605021-v,verb.contact
10057,01998183-n,noun.animal
100570,01605169-v,verb.contact
100571,01605291-v,verb.contact
100572,01605404-v,verb.contact
100573,01605537-v,verb.contact
100574,01605692-v,verb.contact
100575,01605851-v,verb.contact
100576,01606018-v,verb.contact
100577,01606205-v,verb.contact
100578,01606423-v,verb.contact
100579,01606574-v,verb.contact
10058,01998467-n,noun.animal
100580,01606736-v,verb.contact
100581,01606931-v,verb.contact
100582,01607072-v,verb.contact
100583,01607288-v,verb.contact
100584,01607445-v,verb.contact
100585,01607590-v,verb.contact
100586,01607716-v,verb.contact
100587,01607871-v,verb.contact
100588,01608004-v,verb.contact
100589,01608122-v,verb.contact
10059,01998599-n,noun.animal
100590,01608340-v,verb.contact
100591,01608508-v,verb.contact
100592,01608706-v,verb.contact
100593,01608951-v,verb.contact
100594,01609115-v,verb.contact
100595,01609287-v,verb.contact
100596,01609773-v,verb.contact
100597,01609953-v,verb.contact
100598,01610101-v,verb.contact
100599,01610278-v,verb.contact
1006,00217593-n,noun.act
10060,01998741-n,noun.animal
100600,01541448-a,adj.all
100601,01610666-v,verb.contact
100602,01610834-v,verb.contact
100603,01610990-v,verb.contact
100604,01611123-v,verb.contact
100605,01611240-v,verb.contact
100606,01611359-v,verb.contact
100607,01611516-v,verb.contact
100608,01611746-v,verb.contact
100609,01611901-v,verb.contact
10061,01998920-n,noun.animal
100610,01612084-v,verb.contact
100611,01612295-v,verb.contact
100612,01612487-v,verb.contact
100613,01612660-v,verb.contact
100614,01612818-v,verb.contact
100615,01612964-v,verb.contact
100616,01613239-v,verb.contact
100617,01613391-v,verb.contact
