concept_id,wn30_id,english,urdu,darija,nepali,vietnamese,domain
28657,05302499-n,mouth | oral cavity | oral fissure | rima oris,دہن | مکھ | منہ | منھ,فا,थुतुनो | मुख,miệng | mồm,noun.body
29114,05387544-n,lung,پھےپھڑا | پھیپھڑا,رية,फुसफुस | फोक्सो,phổi,noun.body
29881,05546540-n,cervix | neck,کںٹھ | گردن | گلا | گلو,عنق,गर्दन् | गला | घाँटी | घिछ्रो,cổ,noun.body
29943,05558717-n,back | dorsum,پشت | پیٹھ,ضهر,डड्याल्नो | ढाड | पिठ्युँ | पीठ,lưng,noun.body
29947,05559727-n,buttock | cheek,چوتر | چوتڑ | گانڈ,ترمة,चाक | नितम्ब | पुट्ठा,mông,noun.body
29958,05562249-n,thigh,جانگھ | ران | زانو,فخد,जाँघ | तिघ्रा | तिघ्रिा,đùi,noun.body
29967,05564590-n,hand | manus | mitt | paw,دست | ہاتھ,إيد | يد,हात,tay,noun.body
30015,05573602-n,articulatio genus | genu | human knee | knee | knee joint,پنڈلی | زانو | گھٹنا | گوڈا,ركبة,घुँडा | घुँडो,đầu gối | gối,noun.body
30052,05579944-n,articulatio cubiti | cubital joint | cubitus | elbow | elbow joint | human elbow,کہنی,كوع | مرفق,कुहिनो | कुहुनो,khuỷu tay,noun.body
30157,05600637-n,face | human face,چہرہ | رخ | شکل | مکھ | مکھڑا | منھ,وجه,अनुहार | चेहरा | मुख | मोहडा | रूप,mặt,noun.body
30164,05602548-n,brow | forehead,پیشانی | جبیں | سرنامہ | للاٹ | ماتھ | ماتھا,جبهة,खप्पर | चाँदो | निदार | निधार | पुर्पुरो | ललाट,trán,noun.body
40043,07569106-n,flour,آٹا,دجيج | طحين,आटो | पिठो,bột | phấn,noun.food
40814,07679356-n,bread | breadstuff | staff of life,روٹی | نان,خبز | قرص,रोटी,bánh mì | bánh mỳ | bánh tây,noun.food
41394,07767847-n,pear,امرت پھل | ناشپاتی,إجاص | بوعويد,नासपाती | नास्पाती,lê | quả lê | trái lê,noun.food
41430,07773238-n,coconut | coconut meat,کھوپرا | گولا | گیری,كوك,खुपी | गुदी | धन | भित्रीसम्पत्ति,dừa | quả | trái,noun.food
41991,07858978-n,honey,انگبین | شہد | عسل | مدھو,عْسل‎‎,मधु | मह,mật ong,noun.food
48407,09874618-n,bride,دلہن | نذوڈھا,عروسة,दुलही | बेहुली | वधू,cô dâu,noun.person
49100,09992837-n,daughter | girl,بیٹی | پتری | دختر | کڑی | لڑکی,بنت,छोरी,con gái,noun.person
