source,target,relation
concept:100198,synset:01533851-v,mapped_to_synset
concept:100198,domain:verb.contact,belongs_to_domain
concept:100199,synset:01534043-v,mapped_to_synset
concept:100199,domain:verb.contact,belongs_to_domain
concept:1002,synset:00216607-n,mapped_to_synset
concept:1002,domain:noun.act,belongs_to_domain
concept:10020,synset:01991808-n,mapped_to_synset
concept:10020,domain:noun.animal,belongs_to_domain
concept:100200,synset:01534147-v,mapped_to_synset
concept:100200,domain:verb.contact,belongs_to_domain
concept:100201,synset:01534609-v,mapped_to_synset
concept:100201,domain:verb.contact,belongs_to_domain
concept:100202,synset:01534745-v,mapped_to_synset
concept:100202,domain:verb.contact,belongs_to_domain
concept:100203,synset:01535002-v,mapped_to_synset
concept:100203,domain:verb.contact,belongs_to_domain
concept:100204,synset:01535117-v,mapped_to_synset
concept:100204,domain:verb.contact,belongs_to_domain
concept:100205,synset:01535246-v,mapped_to_synset
concept:100205,domain:verb.contact,belongs_to_domain
concept:100206,synset:01535742-v,mapped_to_synset
concept:100206,domain:verb.contact,belongs_to_domain
concept:100207,synset:01535915-v,mapped_to_synset
concept:100207,domain:verb.contact,belongs_to_domain
concept:100208,synset:01536076-v,mapped_to_synset
concept:100208,domain:verb.contact,belongs_to_domain
concept:100209,synset:01536168-v,mapped_to_synset
concept:100209,domain:verb.contact,belongs_to_domain
concept:10021,synset:01991982-n,mapped_to_synset
concept:10021,domain:noun.animal,belongs_to_domain
concept:100210,synset:01536344-v,mapped_to_synset
concept:100210,domain:verb.contact,belongs_to_domain
concept:100211,synset:01536508-v,mapped_to_synset
concept:100211,domain:verb.contact,belongs_to_domain
concept:100212,synset:01536663-v,mapped_to_synset
concept:100212,domain:verb.contact,belongs_to_domain
concept:100213,synset:01536776-v,mapped_to_synset
concept:100213,domain:verb.contact,belongs_to_domain
concept:100214,synset:01536925-v,mapped_to_synset
concept:100214,domain:verb.contact,belongs_to_domain
concept:100215,synset:01537114-v,mapped_to_synset
concept:100215,domain:verb.contact,belongs_to_domain
concept:100216,synset:01537271-v,mapped_to_synset
concept:100216,domain:verb.contact,belongs_to_domain
concept:100217,synset:01537409-v,mapped_to_synset
concept:100217,domain:verb.contact,belongs_to_domain
concept:100218,synset:01537829-v,mapped_to_synset
concept:100218,domain:verb.contact,belongs_to_domain
concept:100219,synset:01537959-v,mapped_to_synset
concept:100219,domain:verb.contact,belongs_to_domain
concept:10022,synset:01992113-n,mapped_to_synset
concept:10022,domain:noun.animal,belongs_to_domain
concept:100220,synset:01538161-v,mapped_to_synset
concept:100220,domain:verb.contact,belongs_to_domain
concept:100221,synset:01538310-v,mapped_to_synset
concept:100221,domain:verb.contact,belongs_to_domain
concept:100222,synset:01538469-v,mapped_to_synset
concept:100222,domain:verb.contact,belongs_to_domain
concept:100223,synset:01538629-v,mapped_to_synset
concept:100223,domain:verb.contact,belongs_to_domain
concept:100224,synset:01538785-v,mapped_to_synset
concept:100224,domain:verb.contact,belongs_to_domain
concept:100225,synset:01538928-v,mapped_to_synset
concept:100225,domain:verb.contact,belongs_to_domain
concept:100226,synset:01539063-v,mapped_to_synset
concept:100226,domain:verb.contact,belongs_to_domain
concept:100227,synset:01539487-v,mapped_to_synset
concept:100227,domain:verb.contact,belongs_to_domain
concept:100228,synset:01539633-v,mapped_to_synset
concept:100228,domain:verb.contact,belongs_to_domain
concept:100229,synset:01539913-v,mapped_to_synset
concept:100229,domain:verb.contact,belongs_to_domain
concept:10023,synset:01992262-n,mapped_to_synset
concept:10023,domain:noun.animal,belongs_to_domain
concept:100230,synset:01540042-v,mapped_to_synset
concept:100230,domain:verb.contact,belongs_to_domain
concept:100231,synset:01540232-v,mapped_to_synset
concept:100231,domain:verb.contact,belongs_to_domain
concept:100232,synset:01540449-v,mapped_to_synset
concept:100232,domain:verb.contact,belongs_to_domain
concept:100233,synset:01540693-v,mapped_to_synset
concept:100233,domain:verb.contact,belongs_to_domain
concept:100234,synset:01540844-v,mapped_to_synset
concept:100234,domain:verb.contact,belongs_to_domain
concept:100235,synset:01541000-v,mapped_to_synset
concept:100235,domain:verb.contact,belongs_to_domain
concept:100236,synset:01541231-v,mapped_to_synset
concept:100236,domain:verb.contact,belongs_to_domain
concept:100237,synset:01541467-v,mapped_to_synset
concept:100237,domain:verb.contact,belongs_to_domain
concept:100238,synset:01541579-v,mapped_to_synset
concept:100238,domain:verb.contact,belongs_to_domain
concept:100239,synset:00429642-v,mapped_to_synset
concept:100239,domain:verb.change,belongs_to_domain
concept:10024,synset:01992423-n,mapped_to_synset
concept:10024,domain:noun.animal,belongs_to_domain
concept:100240,synset:01542056-v,mapped_to_synset
concept:100240,domain:verb.contact,belongs_to_domain
concept:100241,synset:01542207-v,mapped_to_synset
concept:100241,domain:verb.contact,belongs_to_domain
concept:100242,synset:01542525-v,mapped_to_synset
concept:100242,domain:verb.contact,belongs_to_domain
concept:100243,synset:01542668-v,mapped_to_synset
concept:100243,domain:verb.contact,belongs_to_domain
concept:100244,synset:01542842-v,mapped_to_synset
concept:100244,domain:verb.contact,belongs_to_domain
concept:100245,synset:01543000-v,mapped_to_synset
concept:100245,domain:verb.contact,belongs_to_domain
concept:100246,synset:01543123-v,mapped_to_synset
concept:100246,domain:verb.contact,belongs_to_domain
concept:100247,synset:01543426-v,mapped_to_synset
concept:100247,domain:verb.contact,belongs_to_domain
concept:100248,synset:01543626-v,mapped_to_synset
concept:100248,domain:verb.contact,belongs_to_domain
concept:100249,synset:01543731-v,mapped_to_synset
concept:100249,domain:verb.contact,belongs_to_domain
concept:10025,synset:01992516-n,mapped_to_synset
concept:10025,domain:noun.animal,belongs_to_domain
concept:100250,synset:01543998-v,mapped_to_synset
concept:100250,domain:verb.contact,belongs_to_domain
concept:100251,synset:01544445-v,mapped_to_synset
concept:100251,domain:verb.contact,belongs_to_domain
concept:100252,synset:01544558-v,mapped_to_synset
concept:100252,domain:verb.contact,belongs_to_domain
concept:100253,synset:01544692-v,mapped_to_synset
concept:100253,domain:verb.contact,belongs_to_domain
concept:100254,synset:01545079-v,mapped_to_synset
concept:100254,domain:verb.contact,belongs_to_domain
concept:100255,synset:01545208-v,mapped_to_synset
concept:100255,domain:verb.contact,belongs_to_domain
concept:100256,synset:01545314-v,mapped_to_synset
