id,type,concept_id,wn30_id,domain,language,text,char,ipa,audio_path,char_type,case
synset:01536663-v,Synset,,01536663-v,,,,,,,,
concept:100213,Concept,100213,,,,,,,,,
synset:01536776-v,Synset,,01536776-v,,,,,,,,
concept:100214,Concept,100214,,,,,,,,,
synset:01536925-v,Synset,,01536925-v,,,,,,,,
concept:100215,Concept,100215,,,,,,,,,
synset:01537114-v,Synset,,01537114-v,,,,,,,,
concept:100216,Concept,100216,,,,,,,,,
synset:01537271-v,Synset,,01537271-v,,,,,,,,
concept:100217,Concept,100217,,,,,,,,,
synset:01537409-v,Synset,,01537409-v,,,,,,,,
concept:100218,Concept,100218,,,,,,,,,
synset:01537829-v,Synset,,01537829-v,,,,,,,,
concept:100219,Concept,100219,,,,,,,,,
synset:01537959-v,Synset,,01537959-v,,,,,,,,
concept:10022,Concept,10022,,,,,,,,,
synset:01992113-n,Synset,,01992113-n,,,,,,,,
concept:100220,Concept,100220,,,,,,,,,
synset:01538161-v,Synset,,01538161-v,,,,,,,,
concept:100221,Concept,100221,,,,,,,,,
synset:01538310-v,Synset,,01538310-v,,,,,,,,
concept:100222,Concept,100222,,,,,,,,,
synset:01538469-v,Synset,,01538469-v,,,,,,,,
concept:100223,Concept,100223,,,,,,,,,
synset:01538629-v,Synset,,01538629-v,,,,,,,,
concept:100224,Concept,100224,,,,,,,,,
synset:01538785-v,Synset,,01538785-v,,,,,,,,
concept:100225,Concept,100225,,,,,,,,,
synset:01538928-v,Synset,,01538928-v,,,,,,,,
concept:100226,Concept,100226,,,,,,,,,
synset:01539063-v,Synset,,01539063-v,,,,,,,,
concept:100227,Concept,100227,,,,,,,,,
synset:01539487-v,Synset,,01539487-v,,,,,,,,
concept:100228,Concept,100228,,,,,,,,,
synset:01539633-v,Synset,,01539633-v,,,,,,,,
concept:100229,Concept,100229,,,,,,,,,
synset:01539913-v,Synset,,01539913-v,,,,,,,,
concept:10023,Concept,10023,,,,,,,,,
synset:01992262-n,Synset,,01992262-n,,,,,,,,
concept:100230,Concept,100230,,,,,,,,,
synset:01540042-v,Synset,,01540042-v,,,,,,,,
concept:100231,Concept,100231,,,,,,,,,
synset:01540232-v,Synset,,01540232-v,,,,,,,,
concept:100232,Concept,100232,,,,,,,,,
synset:01540449-v,Synset,,01540449-v,,,,,,,,
concept:100233,Concept,100233,,,,,,,,,
synset:01540693-v,Synset,,01540693-v,,,,,,,,
concept:100234,Concept,100234,,,,,,,,,
synset:01540844-v,Synset,,01540844-v,,,,,,,,
